UserPrincipalName,DisplayName,GivenName,SurName,TelephoneNumber,Password,MailNickName
Ola.Normann@azdemoundervisning.onmicrosoft.com,Ola,Normann,Ola,84563207,Sdmbg++w2,Ola.Normann@azdemoundervisning.onmicrosoft.com
karina.Normann@azdemo1undervisning.onmicrosoft.com,Karina,Normann,Karina,96745997,,karina.Normann@azdemo1undervisning.onmicrosoft.com
Hans.Norman@azdemo2undervisning.onmicrosoft.com,Hans,Johhansen,Hans,88745632,sr-697jdsnvb@,Hans.Norman@azdemo2undervisning.onmicrosoft.com
Pernila.Hansen@azdemo3undervisning.onmicrosoft.com,Pernila,Hansen,Pernila,9912345,dgDhnhØÆ@123,Pernila.Hansen@azdemo3undervisning.onmicrosoft.com
Svein.Nilsen@azdemo4undervisning.onmicrosoft.com,Svein,Nilsen,Nilsen,23475698,Sdghj@@!2536,Svein.Nilsen@azdemo4undervisning.onmicrosoft.com
Franck.Petterson@azdemo4undervisning.onmicrosoft.com,Franck,Petterson,Franck,11756908,DSkhm11!!,Franck.Petterson@azdemo4undervisning.onmicrosoft.com
Stina.Henriksen@azdemo5undervisning.onmicrosoft.com,Stine,Henriksen,Stine,97845362,Smjh!!øol,Stina.Henriksen@azdemo5undervisning.onmicrosoft.com
Lars.Svendsen@azdemo6undervisning.onmicrosoft.com,Lars,Svendsen,Lars,24570987,"oplSJ""!!ÆÅR",Lars.Svendsen@azdemo6undervisning.onmicrosoft.com
Nils.Breik@azdemo7undervisning.onmicrosoft.com,Nils,Breik,Nils,78946734,LLOmnfghæø++,Nils.Breik@azdemo7undervisning.onmicrosoft.com
Guri.Jensen@azdemoundervisning.onmicrosoft.com,Guri,Jensen,Guri,98756340,kMjuioæ0\++,Guri.Jensen@azdemoundervisning.onmicrosoft.com
